Block,Temperature,Treatment,Snail,MeanHR_mov,SDNN_mov,RMSSD_mov,pNN50_mov,NNi_mov,Normalized_RMSSD,CV
Heat,20,ENVHEAT,27,45.26764683,75.54997864,65.3637712,38.63636364,1326.662961,0.049269312,5.694737915
Heat,20,ENVHEAT,28,44.4434633,70.94821881,65.55686991,36.36363636,1348.897536,0.048600333,5.259718912
Heat,20,ENVHEAT,29,56.52247914,117.1873795,71.72589161,35.71428571,1063.748866,0.067427467,11.01645165
Heat,20,ENVHEAT,30,49.5917752,83.41926525,80.98537566,36.73469388,1209.210526,0.06697376,6.898655235
Heat,21,WATHEAT,1,56.98585668,127.3152684,179.2731841,76.78571429,1059.653024,0.169181024,12.01480725
Heat,21,WATHEAT,3,47.62484984,88.14155658,80.80217541,45.65217391,1260.984235,0.064078656,6.989901549
Heat,21,WATHEAT,4,78.63343976,52.37842801,48.50815513,29.48717949,764.1376011,0.063480916,6.854580632
Heat,21,WATHEAT,5,58.83396342,52.59504905,45.72138096,27.5862069,1020.340867,0.044809909,5.154654758
Heat,21,WATHEAT,7,62.62040878,58.53087354,54.35164298,31.14754098,958.5970701,0.056699154,6.10588905
Heat,21,WATHEAT,8,63.98082714,62.46632396,68.27343845,44.44444444,938.0211228,0.072784543,6.659372848
Heat,21,WATHEAT,9,49.22362417,55.64947475,65.15426506,36.73469388,1218.677043,0.05346311,4.566384102
Heat,21,WATHEAT,10,65.85847538,86.3741952,98.67781897,46.15384615,914.1442215,0.10794557,9.44863985
Heat,21,WATHEAT,11,46.9768373,38.78652989,45.06930015,26.08695652,1278.014973,0.03526508,3.034904184
Heat,21,WATHEAT,12,75.94312918,45.18023666,53.91597845,29.33333333,790.7902051,0.068179876,5.713302513
Heat,21,WATHEAT,13,47.50765553,73.91873067,53.41732979,28.26086957,1262.403463,0.042313992,5.855396697
Heat,21,WATHEAT,14,53.18566034,395.8606566,568.3337376,74,1168.623091,0.486327664,33.87410874
Heat,21,WATHEAT,15,63.35590239,53.42335604,50.65149415,37.09677419,947.087006,0.053481353,5.640807624
Heat,21,WATHEAT,16,55.15563114,55.39745868,51.74815655,31.48148148,1087.877103,0.047568017,5.092253392
Heat,21,WATHEAT,17,48.89385764,75.40320227,60.51011967,39.58333333,1227.893047,0.049279634,6.140860758
Heat,21,WATHEAT,19,59.24221803,62.55431229,70.20574494,34.48275862,1013.557438,0.069266666,6.171758003
Heat,21,WATHEAT,20,44.05141025,90.86673668,88.6793806,41.86046512,1362.878367,0.065067715,6.667266785
Heat,21,WATHEAT,21,60.30986975,58.77891657,52.73392429,33.33333333,995.088346,0.052994214,5.906904327
Heat,21,WATHEAT,22,56.15616745,117.6947829,116.9864829,55.35714286,1070.770311,0.109254507,10.99159938
Heat,21,WATHEAT,23,54.18628086,104.8561892,100.787073,39.62264151,1108.640603,0.090910501,9.45808668
Heat,21,WATHEAT,25,59.73371277,64.6366678,58.4162089,28.81355932,1007.226237,0.057997108,6.417293893
Heat,21,WATHEAT,26,49.18631053,82.20865498,82.40115109,52.08333333,1221.086545,0.067481827,6.732418379
Heat,21,WATHEAT,27,47.58753299,51.01834548,45.63651728,27.65957447,1262.506948,0.036147538,4.041034828
Heat,21,WATHEAT,28,50.07788439,94.32368521,74.72907397,42.85714286,1199.332963,0.062308864,7.864678794
Heat,21,WATHEAT,29,54.53304725,82.31355098,82.58930904,41.50943396,1102.464332,0.074913361,7.466323271
